State,Year,Area_1000ha,Prod_1000tons,Yield_t_ha
Andhra Pradesh,2000,2694.75,8040.68,2.983831524
Andhra Pradesh,2001,2515.37,7823.69,3.110353546
Andhra Pradesh,2002,1867,5315,2.846813069
Andhra Pradesh,2003,1957.32,6054.11,3.09306092
Andhra Pradesh,2004,2227.69,7392.67,3.318536242
Andhra Pradesh,2005,2520.72,7288.73,2.891527024
Andhra Pradesh,2006,2488.9,7616.4,3.060147053
Andhra Pradesh,2007,2577.61,8880.43,3.445218633
Andhra Pradesh,2008,2695.73,8880.6,3.294321019
Andhra Pradesh,2009,2325.74,7569.08,3.254482444
Andhra Pradesh,2010,2772.38,7933.08,2.861469207
Andhra Pradesh,2011,2346.31,7744.18,3.300578355
Andhra Pradesh,2012,2209.24,6862.75,3.106385001
Andhra Pradesh,2013,2583.44,7993.46,3.094114824
Andhra Pradesh,2014,2393.98,8455.59,3.532021988
Andhra Pradesh,2015,2160.79,7518.29,3.47941725
Andhra Pradesh,2016,2105.04,8002.34,3.801514461
Andhra Pradesh,2017,2218.18,8461.34,3.814541651
Andhra Pradesh,2018,2208.3,8234.54,3.728904587
Andhra Pradesh,2019,2356,9140.1,3.879499151
Assam,2000,2646.17,3998.48,1.511044264
Assam,2001,2536.43,3854.24,1.519553073
Assam,2002,2540.73,3737.81,1.471155928
Assam,2003,2529.86,3880.95,1.534057221
Assam,2004,2383.74,3462.17,1.452410917
Assam,2005,2184.36,3254.6,1.489955868
Assam,2006,1968.07,2671.6,1.357472041
Assam,2007,2110.16,3067.81,1.453828146
Assam,2008,2243.68,3730.64,1.662732653
Assam,2009,2273.71,4093.85,1.800515457
Assam,2010,2258.76,4601.4,2.037135419
Assam,2011,2270.96,4282.79,1.885894071
Assam,2012,2205.19,4627.1,2.098277246
Assam,2013,2237.82,4733.02,2.115013719
Assam,2014,2225.99,4700,2.111420087
Assam,2015,2217.39,4589.37,2.0697171
Assam,2016,2210.65,4634.1,2.096261281
Assam,2017,2185.56,4751.04,2.173831878
Assam,2018,2171.87,4848.57,2.232440247
Assam,2019,2151.03,4672.9,2.172401129
Bihar,2000,3656,5443,1.488785558
Bihar,2001,3552,5203,1.464808559
Bihar,2002,3585,5085,1.418410042
Bihar,2003,3578.01,5447.84,1.522589372
Bihar,2004,3140.11,2472.16,0.7872845219
Bihar,2005,3250.26,3708.28,1.140917957
Bihar,2006,3364.04,5027.98,1.49462551
Bihar,2007,3543.98,4473.47,1.262272925
Bihar,2008,3295.75,5340.41,1.62039293
Bihar,2009,3213.44,3625.82,1.128329765
Bihar,2010,2845.4,3112.65,1.093923526
Bihar,2011,3350.95,8237.97,2.458398365
Bihar,2012,3298.89,8322.02,2.522672778
Bihar,2013,3150.8,6649.61,2.110451314
Bihar,2014,3263.42,8241.64,2.525461019
Bihar,2015,3232.34,6802.25,2.104435177
Bihar,2016,3339.79,8238.78,2.466855701
Bihar,2017,3307,8093.17,2.447284548
Bihar,2018,3159.74,6155.55,1.948119149
Bihar,2019,3097.41,6952.53,2.244626963
Chhattisgarh,2000,3174.75,2014.75,0.634616899
Chhattisgarh,2001,3200.36,4267.25,1.333365621
Chhattisgarh,2002,3173.14,2273.51,0.7164858783
Chhattisgarh,2003,3211.83,4624.66,1.439883182
Chhattisgarh,2004,3224.26,3833.56,1.188973594
Chhattisgarh,2005,3224.26,3833.56,1.188973594
Chhattisgarh,2006,3143.26,4552.33,1.448282993
Chhattisgarh,2007,3200.55,4676.2,1.46106138
Chhattisgarh,2008,3206.29,3900.32,1.216458898
Chhattisgarh,2009,3115,3565.66,1.144674157
Chhattisgarh,2010,3124.71,5150.54,1.648325765
Chhattisgarh,2011,2053.86,3581.23,1.743658282
Chhattisgarh,2012,2092.53,4326.87,2.067769638
Chhattisgarh,2013,2084.32,3873.43,1.858366278
Chhattisgarh,2014,2085.13,4345.45,2.084018742
Chhattisgarh,2015,2004.98,2715.67,1.354462389
Chhattisgarh,2016,2073.81,4945.4,2.384692908
Chhattisgarh,2017,1998.72,3142.3,1.57215618
Chhattisgarh,2018,2093.71,3653.64,1.745055428
Chhattisgarh,2019,1917.02,4465.52,2.329407101
Gujarat,2000,689.3,617.3,0.8955462063
Gujarat,2001,698,1048,1.501432665
Gujarat,2002,628.7,838.5,1.33370447
Gujarat,2003,651.4,1193.2,1.831747006
Gujarat,2004,679.4,1196.5,1.761112747
Gujarat,2005,672.9,1283.6,1.907564274
Gujarat,2006,689.3,1141.2,1.65559263
Gujarat,2007,758.6,1474.2,1.943316636
Gujarat,2008,720.9,1263.3,1.752392842
Gujarat,2009,649.4,1242.5,1.913304589
Gujarat,2010,770.1,1586,2.059472796
Gujarat,2011,785.6,1682.1,2.141165988
Gujarat,2012,654.4,1375,2.101161369
Gujarat,2013,763.35,1628.67,2.133582236
Gujarat,2014,684.72,1555.5,2.271731511
Gujarat,2015,674.82,1504.37,2.229290774
Gujarat,2016,723.44,1738.69,2.403364481
Gujarat,2017,730.66,1670.31,2.28602907
Gujarat,2018,718.04,1642.23,2.287100997
Gujarat,2019,781.23,1687.47,2.160016896
Haryana,2000,1054.3,2695,2.556198425
Haryana,2001,1027.5,2726,2.653041363
Haryana,2002,905.7,2468,2.724964116
Haryana,2003,1015.2,2790,2.74822695
Haryana,2004,1024.24,3010,2.938764352
Haryana,2005,1038,3167,3.05105973
Haryana,2006,1033.9,3360,3.249830738
Haryana,2007,1064,3584,3.368421053
Haryana,2008,1176.9,3209,2.726654771
Haryana,2009,1169.7,3525,3.013593229
Haryana,2010,1204,3357,2.78820598
Haryana,2011,1195.6,3651,3.053696889
Haryana,2012,1172.18,3845,3.280212937
Haryana,2013,1205,3937,3.267219917
Haryana,2014,1236,3876,3.13592233
Haryana,2015,1311.1,4043,3.083670201
Haryana,2016,1340.6,4335,3.233626734
Haryana,2017,1365.6,4734,3.466608084
Haryana,2018,1390,4363,3.138848921
Haryana,2019,1499,5033.4,3.357838559
Himachal Pradesh,2000,81.5,124.9,1.532515337
Himachal Pradesh,2001,80.59,136.44,1.693014022
Himachal Pradesh,2002,82.81,85.68,1.03465765
Himachal Pradesh,2003,81.35,120.63,1.482851875
Himachal Pradesh,2004,79.52,109.12,1.3722334
Himachal Pradesh,2005,79.37,112.14,1.412876402
Himachal Pradesh,2006,69.22,123.48,1.783877492
Himachal Pradesh,2007,78.56,121.46,1.54607943
Himachal Pradesh,2008,77.72,118.29,1.522002059
Himachal Pradesh,2009,76.19,105.78,1.388371177
Himachal Pradesh,2010,75.44,110.24,1.461293743
Himachal Pradesh,2011,75.06,108.64,1.447375433
Himachal Pradesh,2012,75.39,111.27,1.475925189
Himachal Pradesh,2013,73.11,106.91,1.462317056
Himachal Pradesh,2014,72.38,116.36,1.607626416
Himachal Pradesh,2015,71.61,114.66,1.601173021
Himachal Pradesh,2016,69.84,102.55,1.468356243
Himachal Pradesh,2017,70.61,113.77,1.611244866
Himachal Pradesh,2018,71.83,114.89,1.599470973
Himachal Pradesh,2019,72.63,116.89,1.609390059
Jharkhand,2000,1459.81,2274.99,1.558415136
Jharkhand,2001,1321.33,2421.59,1.832691303
Jharkhand,2002,1054.8,1501.6,1.42358741
Jharkhand,2003,1425.23,1916.63,1.344786456
Jharkhand,2004,1067.56,1509.76,1.414215594
Jharkhand,2005,1100.52,921.06,0.8369316323
Jharkhand,2006,1139.5,1952.39,1.713374287
Jharkhand,2007,1198.62,2205.93,1.84039145
Jharkhand,2008,1133.95,2138.13,1.885559328
Jharkhand,2009,916.73,829.49,0.9048356659
Jharkhand,2010,790.11,709.07,0.8974320031
Jharkhand,2011,922.98,1964.71,2.128659343
Jharkhand,2012,1033.26,2003.97,1.939463446
Jharkhand,2013,1015.66,2085.31,2.053157553
Jharkhand,2014,921.72,1950.89,2.116575533
Jharkhand,2015,1060.22,1067.71,1.007064572
Jharkhand,2016,1268.25,2606.57,2.055249359
Jharkhand,2017,1627.06,3255.21,2.00066992
Jharkhand,2018,1441.39,2766.02,1.918994859
Jharkhand,2019,1271,3376.47,2.656546027
Karnataka,2000,1483.4,3846,2.592692463
Karnataka,2001,1417.71,3234.06,2.281185856
Karnataka,2002,1154.79,2390.07,2.069700985
Karnataka,2003,1073.92,2550.41,2.374860325
Karnataka,2004,1308.18,3706.22,2.833111651
Karnataka,2005,1485.17,3999.27,2.692802844
Karnataka,2006,1395.68,3645.51,2.611995586
Karnataka,2007,1404.33,3835.41,2.731131572
Karnataka,2008,1499.26,3989.11,2.660719288
Karnataka,2009,1474.82,3843.28,2.605931571
Karnataka,2010,1425.57,4048.21,2.839713238
Karnataka,2011,1333.75,3783.82,2.836978444
Karnataka,2012,1206.44,3255.47,2.698410199
Karnataka,2013,1262.8,3897.42,3.086331961
Karnataka,2014,1238.41,3795.59,3.064889657
Karnataka,2015,1054.94,2907.49,2.756071435
Karnataka,2016,939.1,2566.82,2.733276541
Karnataka,2017,881.78,2552.52,2.894735648
Karnataka,2018,1098.26,3153.24,2.871123413
Karnataka,2019,1124.43,3517.29,3.128064886
Kerala,2000,347.46,751.33,2.162349623
Kerala,2001,322.37,703.51,2.182306046
Kerala,2002,310.53,688.85,2.21830419
Kerala,2003,287.34,570.05,1.983886685
Kerala,2004,289.99,667.12,2.30049312
Kerala,2005,275.74,629.98,2.284688475
Kerala,2006,263.54,641.58,2.434469151
Kerala,2007,228.94,528.49,2.30842142
Kerala,2008,234.28,590.23,2.519335837
Kerala,2009,234.02,598.33,2.556747287
Kerala,2010,213.2,522.74,2.451876173
Kerala,2011,208.17,569.01,2.733390979
Kerala,2012,197.28,508.31,2.576591646
Kerala,2013,199.61,564.34,2.827213065
Kerala,2014,198.17,562.09,2.836403088
Kerala,2015,196.87,549.29,2.790115305
Kerala,2016,171.4,436.51,2.546732789
Kerala,2017,189.1,521.31,2.756795346
Kerala,2018,198.01,578.25,2.920307055
Kerala,2019,198.18,605.56,3.055606015
Madhya Pradesh,2000,1697.8,975.2,0.5743903876
Madhya Pradesh,2001,1766.2,1685.8,0.9544785415
Madhya Pradesh,2002,1671.1,1024.9,0.6133085991
Madhya Pradesh,2003,1604.6,1674.6,1.043624579
Madhya Pradesh,2004,1570.05,1249.53,0.7958536352
Madhya Pradesh,2005,1594.71,1574.28,0.9871888933
Madhya Pradesh,2006,1569.16,1285.89,0.8194766627
Madhya Pradesh,2007,1530.8,829.81,0.5420760387
Madhya Pradesh,2008,1546.1,949.28,0.6139835716
Madhya Pradesh,2009,1499.8,1294.5,0.863115082
Madhya Pradesh,2010,1481.7,1683,1.135857461
Madhya Pradesh,2011,1573.8,2148.8,1.365357733
Madhya Pradesh,2012,1628.72,2700.6,1.658111892
Madhya Pradesh,2013,1719.66,3052.73,1.775193934
Madhya Pradesh,2014,1899,3229.99,1.700889942
Madhya Pradesh,2015,1879,3168,1.686003193
Madhya Pradesh,2016,2123,5125.22,2.414140367
Madhya Pradesh,2017,1873.11,4604.87,2.458408743
Madhya Pradesh,2018,2608.87,4908.08,1.881304933
Madhya Pradesh,2019,2884.31,6797,2.356542813
Maharashtra,2000,1290.4,1755.4,1.360353379
Maharashtra,2001,1297,2390,1.842713955
Maharashtra,2002,1313.9,1655.7,1.260141563
Maharashtra,2003,1320.5,2544.4,1.926845892
Maharashtra,2004,1315.4,2035.1,1.547133952
Maharashtra,2005,1299.5,2349.3,1.807849173
Maharashtra,2006,1307.1,2320.1,1.774998087
Maharashtra,2007,1344.5,2619.15,1.948047601
Maharashtra,2008,1313.6,2131.1,1.622335566
Maharashtra,2009,1267.5,1972.3,1.556055227
Maharashtra,2010,1304.41,2340.1,1.793991153
Maharashtra,2011,1343.5,2503.58,1.863475996
Maharashtra,2012,1352.53,2693.42,1.991393906
Maharashtra,2013,1380.9,2762.67,2.000630024
Maharashtra,2014,1270.6,2372.6,1.867306784
Maharashtra,2015,1222.9,2104.6,1.720991087
Maharashtra,2016,1223.17,2815.61,2.301895893
Maharashtra,2017,1203.43,2326.1,1.932891818
Maharashtra,2018,1208.8,2724.22,2.253656519
Maharashtra,2019,1255.18,2304.5,1.835991651
Orissa,2000,4433.52,4613.38,1.040568217
Orissa,2001,4499.78,7148.98,1.588739894
Orissa,2002,4273.55,3243.6,0.7589942788
Orissa,2003,4501.11,6733.74,1.496017649
Orissa,2004,4491.93,6537.49,1.455385547
Orissa,2005,4479.26,6962.97,1.554491144
Orissa,2006,4450.32,6928.11,1.556766704
Orissa,2007,4451.76,7654.82,1.719504196
Orissa,2008,4454.61,6915.96,1.552539953
Orissa,2009,4365.08,7022.26,1.608735693
Orissa,2010,4225.69,6931.16,1.640243369
Orissa,2011,4004.54,5895,1.47207919
Orissa,2012,4022.83,9496.82,2.360731127
Orissa,2013,4180.22,7613.42,1.821296487
Orissa,2014,4166.26,9844.65,2.362946624
Orissa,2015,3941.51,5875.37,1.490639374
Orissa,2016,3962.78,9794.32,2.471578034
Orissa,2017,3766.39,6551.37,1.739429533
Orissa,2018,3859.42,7733.71,2.003852911
Orissa,2019,3940.71,9755.05,2.475454931
Punjab,2000,2612,9157,3.505742726
Punjab,2001,2489,8824,3.545198875
Punjab,2002,2530,8880,3.509881423
Punjab,2003,2614,9656,3.693955624
Punjab,2004,2647,10437,3.942954288
Punjab,2005,2446,9599,3.924366312
Punjab,2006,2319,9090,3.919793014
Punjab,2007,2311,9381,4.059281696
Punjab,2008,2437,9902,4.06319245
Punjab,2009,2496,10112,4.051282051
Punjab,2010,2512,9727,3.872213376
Punjab,2011,2481.39,9474,3.818021351
Punjab,2012,2421,9817,4.054935977
Punjab,2013,2419,9707,4.012815213
Punjab,2014,2455,9597,3.909164969
Punjab,2015,2524,10306,4.083201268
Punjab,2016,2578,10928,4.238944919
Punjab,2017,2602,11509,4.423136049
Punjab,2018,2630,10958,4.166539924
Punjab,2019,2596,10477,4.035824345
Rajasthan,2000,166.28,155.72,0.936492663
Rajasthan,2001,144.4,180.07,1.247022161
Rajasthan,2002,83.58,67.93,0.8127542474
Rajasthan,2003,99.71,164.82,1.652993682
Rajasthan,2004,101.37,150.44,1.484068265
Rajasthan,2005,107.5,153.08,1.424
Rajasthan,2006,107.8,169.85,1.575602968
Rajasthan,2007,127.84,259.69,2.031367334
Rajasthan,2008,131.89,238.34,1.807111987
Rajasthan,2009,149.19,225.96,1.514578725
Rajasthan,2010,129.82,262.88,2.024957634
Rajasthan,2011,133.18,251.18,1.886018922
Rajasthan,2012,124.52,220.5,1.770799872
Rajasthan,2013,144.46,310.17,2.147099543
Rajasthan,2014,166.65,364.26,2.185778578
Rajasthan,2015,182.07,368.06,2.021530181
Rajasthan,2016,185.94,439.83,2.365440465
Rajasthan,2017,176.83,435.96,2.465418764
Rajasthan,2018,197.03,451.31,2.290564889
Rajasthan,2019,218.77,478.88,2.18896558
Tamil Nadu,2000,2080.03,7366.32,3.541448921
Tamil Nadu,2001,2059.88,6583.63,3.196123075
Tamil Nadu,2002,1516.55,3577.12,2.3587221
Tamil Nadu,2003,1385.15,3201.84,2.311547486
Tamil Nadu,2004,1855.21,5016.39,2.703947262
Tamil Nadu,2005,2028.49,5151.66,2.539652648
Tamil Nadu,2006,1913.53,6559.57,3.427994335
Tamil Nadu,2007,1774.2,4992.3,2.813831586
Tamil Nadu,2008,1881.37,5034.8,2.676134944
Tamil Nadu,2009,1790.15,5468.65,3.054855738
Tamil Nadu,2010,1851.42,5576.5,3.012012401
Tamil Nadu,2011,1725.62,6732.56,3.901531044
Tamil Nadu,2012,1456.76,3940.17,2.704748895
Tamil Nadu,2013,1663.11,6795.76,4.086175899
Tamil Nadu,2014,1740.86,7676.22,4.409441311
Tamil Nadu,2015,1941.37,7099.04,3.656716649
Tamil Nadu,2016,1794.23,5872.83,3.27317568
Tamil Nadu,2017,1772.69,6644.96,3.748517789
Tamil Nadu,2018,1665.13,5877.5,3.529754434
Tamil Nadu,2019,1850.76,7017.07,3.791453241
Telangana,2000,1547.98,4417.37,2.85363506
Telangana,2001,1309.4,3566.11,2.723468764
Telangana,2002,955,2012,2.106806283
Telangana,2003,1017.33,2898.72,2.849340922
Telangana,2004,858.53,2208.37,2.572268878
Telangana,2005,1461.04,4414.91,3.021758473
Telangana,2006,1489.01,4255.74,2.858100349
Telangana,2007,1406.34,4443.37,3.159527568
Telangana,2008,1691.49,5360.55,3.169128993
Telangana,2009,1115.02,3269.21,2.931974314
Telangana,2010,1978.94,6536.23,3.302894479
Telangana,2011,1749.55,5147.63,2.942259438
Telangana,2012,1418.51,4647.81,3.276543697
Telangana,2013,1994.42,6581.09,3.299751306
Telangana,2014,1415.42,4544.99,3.211053963
Telangana,2015,1045.18,3046.29,2.91460801
Telangana,2016,692.35,2569.08,3.71066657
Telangana,2017,758.84,2448.98,3.227267935
Telangana,2018,701.19,2478.43,3.534605456
Telangana,2019,1116.34,4166.44,3.732232116
Uttar Pradesh,2000,5907.17,11679.23,1.977127796
Uttar Pradesh,2001,6071.36,12855.89,2.117464621
Uttar Pradesh,2002,5213.5,9596.4,1.840682843
Uttar Pradesh,2003,5727.8,12494.97,2.181460596
Uttar Pradesh,2004,5341.52,9560.74,1.789891267
Uttar Pradesh,2005,5883.98,11741.53,1.995508142
Uttar Pradesh,2006,5836.07,10912.48,1.869833638
Uttar Pradesh,2007,5778.29,11884.53,2.056755545
Uttar Pradesh,2008,5975.25,13010.15,2.17733986
Uttar Pradesh,2009,5611.06,11763.59,2.096500483
Uttar Pradesh,2010,5678.02,12051.24,2.122437047
Uttar Pradesh,2011,5688.36,13412.68,2.357916869
Uttar Pradesh,2012,5162.43,12634.57,2.447407519
Uttar Pradesh,2013,5734.86,14043.3,2.448760737
Uttar Pradesh,2014,5676.63,12924.55,2.276799791
Uttar Pradesh,2015,5676.63,12097.16,2.131046061
Uttar Pradesh,2016,5782.14,13966.31,2.415422318
Uttar Pradesh,2017,5716.99,14991.28,2.622233028
Uttar Pradesh,2018,5706.59,15436.08,2.704956901
Uttar Pradesh,2019,5705.28,16403.3,2.875108671
Uttarakhand,2000,288.61,588.68,2.039707564
Uttarakhand,2001,284.59,579.5,2.036262694
Uttarakhand,2002,275.32,523.19,1.900297835
Uttarakhand,2003,268.94,469.13,1.744366773
Uttarakhand,2004,288.31,548.72,1.903229163
Uttarakhand,2005,299.06,550.07,1.8393299
Uttarakhand,2006,287,542.94,1.891777003
Uttarakhand,2007,275.62,549.6,1.994049779
Uttarakhand,2008,295.67,581.5,1.966719654
Uttarakhand,2009,294.25,613.31,2.084316058
Uttarakhand,2010,285.71,545.6,1.909628644
Uttarakhand,2011,275.02,589.77,2.144462221
Uttarakhand,2012,269.25,606.88,2.253964717
Uttarakhand,2013,259.4,593.08,2.286353123
Uttarakhand,2014,260.09,600.88,2.310277212
Uttarakhand,2015,265.23,641.91,2.420201335
Uttarakhand,2016,266.2,638.32,2.397896319
Uttarakhand,2017,260.5,664.88,2.552322457
Uttarakhand,2018,259.35,626.53,2.415770195
Uttarakhand,2019,257.77,677.43,2.628040501
West Bengal,2000,5433.34,12426.05,2.287000261
West Bengal,2001,6067.09,15254.68,2.514332242
West Bengal,2002,5840.09,14387.24,2.463530528
West Bengal,2003,5854.63,14660.24,2.5040421
West Bengal,2004,5781.62,14882.91,2.574176442
West Bengal,2005,5780.94,14508.8,2.509764848
West Bengal,2006,5685.23,14743.9,2.593369134
West Bengal,2007,5717.8,14717.5,2.573979503
West Bengal,2008,5933.7,15035.3,2.533882738
West Bengal,2009,5628.1,14338.6,2.547680389
West Bengal,2010,4942.15,13387.62,2.708865575
West Bengal,2011,5431.7,14608.28,2.689448975
West Bengal,2012,5442.34,14944.74,2.746013663
West Bengal,2013,5511.7,15374.88,2.789498703
West Bengal,2014,5524.52,15925.2,2.882639578
West Bengal,2015,5521.96,15946.26,2.887789843
West Bengal,2016,5136.47,14951.47,2.910845386
West Bengal,2017,5231.62,15489.39,2.960725358
West Bengal,2018,5231.19,15761.34,3.012954987
West Bengal,2019,5209.94,15662.75,3.00632061