State,Year,Kharif_Rain_mm
Andhra Pradesh,2000,832.93
Andhra Pradesh,2001,509.78999999999996
Andhra Pradesh,2002,380.95
Andhra Pradesh,2003,501.30999999999995
Andhra Pradesh,2004,490.1
Andhra Pradesh,2005,700.02
Andhra Pradesh,2006,565.11
Andhra Pradesh,2007,847.5400000000001
Andhra Pradesh,2008,750.16
Andhra Pradesh,2009,531.39
Andhra Pradesh,2010,882.37
Andhra Pradesh,2011,518.1800000000001
Andhra Pradesh,2012,740.3199999999999
Andhra Pradesh,2013,636.46
Andhra Pradesh,2014,475.64
Andhra Pradesh,2015,632.84
Andhra Pradesh,2016,724.14
Andhra Pradesh,2017,822.3000000000001
Andhra Pradesh,2018,716.64
Andhra Pradesh,2019,738.33
Assam,2000,853.4399999999999
Assam,2001,585.49
Assam,2002,768.64
Assam,2003,815.17
Assam,2004,831.06
Assam,2005,766.61
Assam,2006,594.69
Assam,2007,924.9200000000001
Assam,2008,857.2
Assam,2009,811.5600000000001
Assam,2010,1094.54
Assam,2011,982.76
Assam,2012,1030.21
Assam,2013,892.79
Assam,2014,958.0100000000001
Assam,2015,1092.0800000000002
Assam,2016,803.87
Assam,2017,1036.26
Assam,2018,914.35
Assam,2019,922.21
Bihar,2000,918.3199999999999
Bihar,2001,895.3699999999999
Bihar,2002,650.74
Bihar,2003,835.9699999999999
Bihar,2004,751.5999999999999
Bihar,2005,679.39
Bihar,2006,970.6700000000001
Bihar,2007,1178.61
Bihar,2008,1423.83
Bihar,2009,653.67
Bihar,2010,628.7800000000001
Bihar,2011,929.3499999999999
Bihar,2012,895.8499999999999
Bihar,2013,600.98
Bihar,2014,905.91
Bihar,2015,814.5999999999999
Bihar,2016,797.05
Bihar,2017,765.6999999999999
Bihar,2018,542.58
Bihar,2019,837.18
Chhattisgarh,2000,795.5
Chhattisgarh,2001,1051.8999999999999
Chhattisgarh,2002,706.65
Chhattisgarh,2003,1195.67
Chhattisgarh,2004,894.05
Chhattisgarh,2005,1270.4399999999998
Chhattisgarh,2006,947.9100000000001
Chhattisgarh,2007,1338.4599999999998
Chhattisgarh,2008,972.96
Chhattisgarh,2009,932.86
Chhattisgarh,2010,1010.0900000000001
Chhattisgarh,2011,1356.37
Chhattisgarh,2012,1414.65
Chhattisgarh,2013,1393.18
Chhattisgarh,2014,1025.03
Chhattisgarh,2015,1047.79
Chhattisgarh,2016,1109.6
Chhattisgarh,2017,1079.72
Chhattisgarh,2018,967.6500000000001
Chhattisgarh,2019,1420.43
Gujarat,2000,558.58
Gujarat,2001,541.44
Gujarat,2002,538.97
Gujarat,2003,1071.84
Gujarat,2004,1023.8000000000001
Gujarat,2005,1302.38
Gujarat,2006,1219.21
Gujarat,2007,1235.27
Gujarat,2008,813.1700000000001
Gujarat,2009,726.89
Gujarat,2010,1258.03
Gujarat,2011,887.4300000000001
Gujarat,2012,690.7
Gujarat,2013,1265.9
Gujarat,2014,898.9100000000001
Gujarat,2015,736.81
Gujarat,2016,585.3
Gujarat,2017,904.7500000000001
Gujarat,2018,633.41
Gujarat,2019,1227.04
Haryana,2000,256.69
Haryana,2001,407.91
Haryana,2002,196.13
Haryana,2003,625.9300000000001
Haryana,2004,279.37
Haryana,2005,462.62
Haryana,2006,305.67999999999995
Haryana,2007,396.84000000000003
Haryana,2008,586.67
Haryana,2009,350.1
Haryana,2010,638.3199999999999
Haryana,2011,497.53
Haryana,2012,409.67
Haryana,2013,625.36
Haryana,2014,243.39999999999998
Haryana,2015,449.4100000000001
Haryana,2016,478.4
Haryana,2017,420.42999999999995
Haryana,2018,566.51
Haryana,2019,382.87999999999994
Himachal Pradesh,2000,752.74
Himachal Pradesh,2001,747.84
Himachal Pradesh,2002,556.59
Himachal Pradesh,2003,876.3999999999999
Himachal Pradesh,2004,712.04
Himachal Pradesh,2005,741.92
Himachal Pradesh,2006,649.16
Himachal Pradesh,2007,674.25
Himachal Pradesh,2008,1294.88
Himachal Pradesh,2009,667.3299999999999
Himachal Pradesh,2010,1285.7800000000002
Himachal Pradesh,2011,1165.66
Himachal Pradesh,2012,772.0500000000001
Himachal Pradesh,2013,1232.6599999999999
Himachal Pradesh,2014,625.23
Himachal Pradesh,2015,833.72
Himachal Pradesh,2016,707.7
Himachal Pradesh,2017,916.6800000000001
Himachal Pradesh,2018,1205.41
Himachal Pradesh,2019,803.2900000000001
Jharkhand,2000,911.23
Jharkhand,2001,1037.59
Jharkhand,2002,1000.1300000000001
Jharkhand,2003,993.7700000000001
Jharkhand,2004,1049.1100000000001
Jharkhand,2005,766.89
Jharkhand,2006,1374.17
Jharkhand,2007,1268.73
Jharkhand,2008,1274.0
Jharkhand,2009,930.71
Jharkhand,2010,737.8299999999999
Jharkhand,2011,1488.2200000000003
Jharkhand,2012,1105.96
Jharkhand,2013,1011.79
Jharkhand,2014,871.46
Jharkhand,2015,1048.03
Jharkhand,2016,1270.99
Jharkhand,2017,1397.54
Jharkhand,2018,1037.7
Jharkhand,2019,1050.87
Karnataka,2000,480.01000000000005
Karnataka,2001,290.30999999999995
Karnataka,2002,269.73
Karnataka,2003,184.64000000000001
Karnataka,2004,372.01
Karnataka,2005,631.52
Karnataka,2006,440.09000000000003
Karnataka,2007,709.6
Karnataka,2008,345.55999999999995
Karnataka,2009,531.63
Karnataka,2010,561.1400000000001
Karnataka,2011,362.82
Karnataka,2012,292.56
Karnataka,2013,392.77
Karnataka,2014,443.53999999999996
Karnataka,2015,412.42
Karnataka,2016,424.07
Karnataka,2017,474.59999999999997
Karnataka,2018,363.03999999999996
Karnataka,2019,572.7099999999999
Kerala,2000,984.11
Kerala,2001,1065.77
Kerala,2002,899.1999999999999
Kerala,2003,970.93
Kerala,2004,1092.56
Kerala,2005,1194.21
Kerala,2006,1527.92
Kerala,2007,2000.6100000000001
Kerala,2008,1209.94
Kerala,2009,1498.32
Kerala,2010,1418.09
Kerala,2011,1376.09
Kerala,2012,949.57
Kerala,2013,1580.61
Kerala,2014,1498.1100000000001
Kerala,2015,737.37
Kerala,2016,859.51
Kerala,2017,1179.92
Kerala,2018,1480.28
Kerala,2019,1397.0
Madhya Pradesh,2000,623.6200000000001
Madhya Pradesh,2001,906.0999999999999
Madhya Pradesh,2002,792.73
Madhya Pradesh,2003,1095.97
Madhya Pradesh,2004,845.48
Madhya Pradesh,2005,1115.23
Madhya Pradesh,2006,1222.44
Madhya Pradesh,2007,961.0600000000002
Madhya Pradesh,2008,999.5500000000001
Madhya Pradesh,2009,771.75
Madhya Pradesh,2010,863.0
Madhya Pradesh,2011,1593.5400000000002
Madhya Pradesh,2012,1013.77
Madhya Pradesh,2013,1508.98
Madhya Pradesh,2014,846.8299999999999
Madhya Pradesh,2015,996.4100000000001
Madhya Pradesh,2016,1361.54
Madhya Pradesh,2017,756.33
Madhya Pradesh,2018,1114.0600000000002
Madhya Pradesh,2019,1537.5200000000002
Maharashtra,2000,584.0500000000001
Maharashtra,2001,491.81
Maharashtra,2002,569.5400000000001
Maharashtra,2003,567.04
Maharashtra,2004,584.4100000000001
Maharashtra,2005,920.5999999999999
Maharashtra,2006,969.73
Maharashtra,2007,802.64
Maharashtra,2008,575.19
Maharashtra,2009,575.9300000000001
Maharashtra,2010,754.03
Maharashtra,2011,649.44
Maharashtra,2012,528.52
Maharashtra,2013,682.26
Maharashtra,2014,509.01
Maharashtra,2015,635.66
Maharashtra,2016,714.0999999999999
Maharashtra,2017,770.74
Maharashtra,2018,536.52
Maharashtra,2019,670.12
Odisha,2000,817.55
Odisha,2001,1486.42
Odisha,2002,966.79
Odisha,2003,1300.9599999999998
Odisha,2004,1014.22
Odisha,2005,1195.88
Odisha,2006,1405.02
Odisha,2007,1324.98
Odisha,2008,1567.23
Odisha,2009,1076.34
Odisha,2010,958.9699999999999
Odisha,2011,1332.8200000000002
Odisha,2012,1210.8
Odisha,2013,1042.1499999999999
Odisha,2014,1152.6
Odisha,2015,1049.17
Odisha,2016,1033.25
Odisha,2017,1155.86
Odisha,2018,1168.52
Odisha,2019,1036.84
Punjab,2000,341.88
Punjab,2001,390.48
Punjab,2002,305.88
Punjab,2003,411.20000000000005
Punjab,2004,332.57
Punjab,2005,410.99
Punjab,2006,510.9699999999999
Punjab,2007,325.53999999999996
Punjab,2008,782.27
Punjab,2009,318.93
Punjab,2010,588.0699999999999
Punjab,2011,605.8499999999999
Punjab,2012,366.65
Punjab,2013,619.6
Punjab,2014,481.32
Punjab,2015,554.45
Punjab,2016,502.61
Punjab,2017,601.95
Punjab,2018,845.0
Punjab,2019,702.95
Rajasthan,2000,226.97000000000003
Rajasthan,2001,382.62
Rajasthan,2002,109.09
Rajasthan,2003,427.73
Rajasthan,2004,493.89
Rajasthan,2005,335.51
Rajasthan,2006,344.40999999999997
Rajasthan,2007,391.28
Rajasthan,2008,427.82000000000005
Rajasthan,2009,293.11
Rajasthan,2010,611.79
Rajasthan,2011,587.74
Rajasthan,2012,617.02
Rajasthan,2013,610.57
Rajasthan,2014,449.09000000000003
Rajasthan,2015,351.55
Rajasthan,2016,558.0400000000001
Rajasthan,2017,382.48
Rajasthan,2018,565.4799999999999
Rajasthan,2019,694.9300000000001
Tamil Nadu,2000,323.87
Tamil Nadu,2001,296.62
Tamil Nadu,2002,168.48000000000002
Tamil Nadu,2003,284.81
Tamil Nadu,2004,415.49
Tamil Nadu,2005,176.63
Tamil Nadu,2006,240.14
Tamil Nadu,2007,255.37
Tamil Nadu,2008,319.74
Tamil Nadu,2009,165.5
Tamil Nadu,2010,345.87
Tamil Nadu,2011,299.89
Tamil Nadu,2012,302.41999999999996
Tamil Nadu,2013,293.5
Tamil Nadu,2014,219.48000000000002
Tamil Nadu,2015,269.55
Tamil Nadu,2016,220.37
Tamil Nadu,2017,356.15999999999997
Tamil Nadu,2018,256.71
Tamil Nadu,2019,403.11
Telangana,2000,782.51
Telangana,2001,597.91
Telangana,2002,558.7099999999999
Telangana,2003,631.01
Telangana,2004,475.42999999999995
Telangana,2005,886.61
Telangana,2006,796.02
Telangana,2007,744.8499999999999
Telangana,2008,837.5699999999999
Telangana,2009,620.39
Telangana,2010,938.0500000000001
Telangana,2011,591.4300000000001
Telangana,2012,608.11
Telangana,2013,795.87
Telangana,2014,476.43
Telangana,2015,357.57
Telangana,2016,690.03
Telangana,2017,619.5899999999999
Telangana,2018,532.51
Telangana,2019,688.6500000000001
Uttar Pradesh,2000,837.4499999999999
Uttar Pradesh,2001,549.2900000000001
Uttar Pradesh,2002,576.1500000000001
Uttar Pradesh,2003,772.5699999999999
Uttar Pradesh,2004,716.6400000000001
Uttar Pradesh,2005,694.3299999999999
Uttar Pradesh,2006,742.74
Uttar Pradesh,2007,711.77
Uttar Pradesh,2008,1417.42
Uttar Pradesh,2009,794.43
Uttar Pradesh,2010,707.49
Uttar Pradesh,2011,991.6600000000001
Uttar Pradesh,2012,854.39
Uttar Pradesh,2013,798.96
Uttar Pradesh,2014,500.99
Uttar Pradesh,2015,444.15
Uttar Pradesh,2016,759.21
Uttar Pradesh,2017,884.51
Uttar Pradesh,2018,1171.38
Uttar Pradesh,2019,1006.5100000000001
Uttarakhand,2000,652.23
Uttarakhand,2001,1155.8700000000001
Uttarakhand,2002,674.8599999999999
Uttarakhand,2003,965.28
Uttarakhand,2004,988.54
Uttarakhand,2005,1029.75
Uttarakhand,2006,859.09
Uttarakhand,2007,1286.1999999999998
Uttarakhand,2008,1350.09
Uttarakhand,2009,797.35
Uttarakhand,2010,1764.2599999999998
Uttarakhand,2011,1498.4099999999999
Uttarakhand,2012,1243.77
Uttarakhand,2013,1749.8899999999999
Uttarakhand,2014,868.12
Uttarakhand,2015,844.32
Uttarakhand,2016,776.1899999999999
Uttarakhand,2017,936.8000000000001
Uttarakhand,2018,1002.71
Uttarakhand,2019,704.3
West Bengal,2000,833.22
West Bengal,2001,958.35
West Bengal,2002,883.4399999999999
West Bengal,2003,708.36
West Bengal,2004,948.6
West Bengal,2005,665.36
West Bengal,2006,1081.36
West Bengal,2007,1489.0600000000002
West Bengal,2008,1039.58
West Bengal,2009,1022.39
West Bengal,2010,723.73
West Bengal,2011,1322.1100000000001
West Bengal,2012,882.5699999999999
West Bengal,2013,1083.58
West Bengal,2014,917.85
West Bengal,2015,1037.0
West Bengal,2016,1199.87
West Bengal,2017,1472.3999999999999
West Bengal,2018,1024.9
West Bengal,2019,799.52
